time setpoint speed position
10:33:40 0.00 0.00 1.54
10:33:40 0.00 0.00 1.54
10:33:40 0.00 0.00 1.54
10:33:40 0.00 0.00 1.54
10:33:40 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:41 0.00 0.00 1.54
10:33:42 0.00 0.00 1.54
10:33:42 0.00 0.00 1.54
10:33:42 0.00 0.00 1.54
10:33:42 0.00 0.00 1.54
